Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1970,Jul,7-13,,NOP,DM,51.2,,40.4,,6.5,,10.8,,,
,Jul,,,ORC,ES,51.0,,40.0,,8.0,,11.0,,,Butler Political Facts 5th edition inconsistent on whether ORC poll leads given from here to Oct 76 excl DKs. Most likely they do
,Aug,11-16,,NOP,DM,47.3,-3.9,44.2,3.8,6.9,0.4,3.1,-7.7,,
,Aug,13-16,,Gallup,DT,47.0,,43.5,,7.5,,3.5,,,
,Aug,,,ORC,ES,49.0,-2.0,41.0,1.0,8.0,0.0,8.0,-3.0,,
,Sep,10-13,,Gallup,DT,46.5,-0.5,44.0,0.5,8.0,0.5,2.5,-1.0,,
,Sep,,,ORC,ES,50.0,1.0,42.0,1.0,6.0,-2.0,8.0,0.0,,
,Sep,,,Harris,DE,49.0,,45.0,,5.0,,4.0,,,
,Oct,13-18,,NOP,DM,45.8,-1.5,46.6,2.4,6.7,-0.2,-0.8,-3.9,,
,Oct,16-18,,Gallup,DT,46.5,0.0,46.5,2.5,6.5,-1.5,0.0,-2.5,,
,Oct,,,ORC,ES,48.0,-2.0,43.0,1.0,7.0,1.0,5.0,-3.0,,
,Oct,,,Harris,DE,48.0,-1.0,44.0,-1.0,7.0,2.0,4.0,0.0,,
,Nov,12-15,,Gallup,DT,43.5,-3.0,48.0,1.5,6.5,0.0,-4.5,-4.5,,
,Nov,,,ORC,ES,51.0,3.0,40.0,-3.0,7.0,0.0,11.0,6.0,,
,Nov,,,Harris,DE,45.0,-3.0,48.0,4.0,7.0,0.0,-3.0,-7.0,,
,Dec,10-13,,Gallup,DT,46.0,2.5,44.5,-3.5,6.0,-0.5,1.5,6.0,,
,Dec,,,ORC,ES,41.5,-9.5,47.0,7.0,9.5,2.5,-5.5,-16.5,,
1971,Jan,12-18,,NOP,DM,46.3,0.5,44.3,-2.3,8.3,1.6,2.0,2.8,,
,Jan,14-17,,Gallup,DT,42.5,-3.5,47.0,2.5,8.5,2.5,-4.5,-6.0,,
,Jan,,,ORC,ES,45.0,3.5,45.0,-2.0,9.0,-0.5,0.0,5.5,,
,Jan,,,Harris,DE,42.0,-3.0,49.0,1.0,8.0,1.0,-7.0,-4.0,,
,Feb,8-14,,Gallup,DT,41.5,-1.0,49.0,2.0,8.0,-0.5,-7.5,-3.0,,
,Feb,,,ORC,ES,41.5,-3.5,48.0,3.0,9.0,0.0,-6.5,-6.5,,
,Feb,,,Harris,DE,41.0,-1.0,49.0,0.0,8.0,0.0,-8.0,-1.0,,
,Mar,9-15,,NOP,DM,39.9,-6.4,50.4,6.1,8.9,0.6,-10.5,-12.5,,
,Mar,11-14,,Gallup,DT,38.5,-3.0,50.5,1.5,8.0,0.0,-12.0,-4.5,,
,Mar,,,ORC,ES,41.0,-0.5,46.0,-2.0,11.0,2.0,-5.0,1.5,,
,Mar,,,Harris,DE,42.0,1.0,49.0,0.0,8.0,0.0,-7.0,1.0,,
,Apr,1-4,,Gallup,DT,44.5,6.0,48.0,-2.5,6.0,-2.0,-3.5,8.5,,
,Apr,8-13,,Gallup,DT,44.0,-0.5,45.5,-2.5,9.5,3.5,-1.5,2.0,,
,Apr,13-19,,NOP,DM,42.0,2.1,48.8,-1.6,7.3,-1.6,-6.8,3.7,,
,Apr,,,ORC,ES,48.5,7.5,41.5,-4.5,8.5,-2.5,7.0,12.0,,
,Apr,,,Harris,DE,44.0,2.0,47.0,-2.0,7.0,-1.0,-3.0,4.0,,
,May,13-16,,Gallup,DT,38.0,-6.0,50.0,4.5,9.5,0.0,-12.0,-10.5,,
,May,?-24,,NOP,DM,40.7,-1.3,51.7,2.9,6.6,-0.7,-11.0,-4.2,,
,May,,,ORC,ES,45.0,-3.5,45.0,3.5,8.0,-0.5,0.0,-7.0,,
,May,,,Harris,DE,39.0,-5.0,54.0,7.0,7.0,0.0,-15.0,-12.0,,
,Jun,8-14,,NOP,DM,38.3,-2.4,52.0,0.3,7.9,1.3,-13.7,-2.7,,
,Jun,10-13,,Gallup,DT,36.0,-2.0,54.0,4.0,8.0,-1.5,-18.0,-6.0,,
,Jun,,,ORC,ES,40.0,-5.0,51.0,6.0,7.0,-1.0,-11.0,-11.0,,
,Jun,,,Harris,DE,36.0,-3.0,57.0,3.0,5.0,-2.0,-21.0,-6.0,,
,Jul,6-12,,NOP,DM,38.1,-0.2,53.7,1.7,7.6,-0.3,-15.6,-1.9,,
,Jul,9-12,,Gallup,DT,33.5,-2.5,55.0,1.0,8.5,0.5,-21.5,-3.5,,
,Jul,,,ORC,ES,39.0,-1.0,50.0,-1.0,8.0,1.0,-11.0,0.0,,
,Jul,,,Harris,DE,42.0,6.0,51.0,-6.0,7.0,2.0,-9.0,12.0,,
,Aug,11-15,,Gallup,DT,42.0,8.5,48.5,-6.5,7.0,-1.5,-6.5,15.0,,
,Aug,,,ORC,ES,42.0,3.0,47.0,-3.0,9.0,1.0,-5.0,6.0,,
,Aug,,,Harris,DE,42.0,0.0,50.0,-1.0,7.0,0.0,-8.0,1.0,,
,Sep,14-20,,NOP,DM,41.8,3.7,49.3,-4.4,7.9,0.3,-7.5,8.1,,
,Sep,16-20,,Gallup,DT,35.0,-7.0,54.0,5.5,8.5,1.5,-19.0,-12.5,,
,Sep,,,ORC,ES,42.0,0.0,46.0,-1.0,9.0,0.0,-4.0,1.0,,
,Sep,,,Harris,DE,42.0,0.0,50.0,0.0,7.0,0.0,-8.0,0.0,,
,Oct,13-17,,Gallup,DT,40.0,5.0,50.0,-4.0,8.0,-0.5,-10.0,9.0,,
,Oct,,,ORC,ES,42.0,0.0,48.0,2.0,8.0,-1.0,-6.0,-2.0,,
,Oct,,,Harris,DE,40.0,-2.0,52.0,2.0,7.0,0.0,-12.0,-4.0,,
,Nov,10-14,,Gallup,DT,42.5,2.5,48.5,-1.5,7.0,-1.0,-6.0,4.0,,
,Nov,23-29,,NOP,DM,38.8,-3.0,51.8,2.5,8.4,0.5,-13.0,-5.5,,
,Nov,,,ORC,ES,40.0,-2.0,51.0,3.0,7.5,-1.5,-11.0,-5.0,,
,Nov,,,Harris,DE,38.0,-2.0,54.0,2.0,7.0,0.0,-16.0,-4.0,,
,Dec,8-12,,Gallup,DT,42.0,-0.5,48.0,-0.5,7.5,0.5,-6.0,0.0,,
,Dec,,,ORC,ES,39.5,-0.5,49.5,-1.5,9.0,1.5,-10.0,1.0,,
1972,Jan,11-16,,NOP,DM,42.7,3.9,49.4,-2.4,6.8,-1.6,-6.7,6.3,,
,Jan,12-16,,Gallup,DT,40.5,-1.5,48.0,0.0,9.0,1.5,-7.5,-1.5,,
,Jan,24-30,,NOP,DM,39.1,-3.6,49.8,0.4,9.6,2.8,-10.7,-4.0,,
,Jan,,,ORC,ES,43.0,3.5,47.0,-2.5,8.0,-1.0,-4.0,6.0,,
,Jan,,,Harris,DE,43.0,5.0,49.0,-5.0,7.0,0.0,-6.0,-10.0,,
,Feb,9-13,,Gallup,DT,40.5,0.0,49.0,1.0,8.5,-0.5,-8.5,-1.0,,
,Feb,15-20,,NOP,DM,42.0,2.9,49.0,-0.8,8.0,-1.6,-7.0,3.7,,
,Feb,,,ORC,ES,35.0,-8.0,55.0,8.0,8.0,0.0,-20.0,-16.0,,
,Feb,,,Harris,DE,39.0,-4.0,53.0,4.0,7.0,0.0,-14.0,-8.0,,
,Mar,8-12,,Gallup,DT,39.5,-1.0,48.5,-0.5,9.5,1.0,-9.0,-0.5,,
,Mar,,,ORC,ES,39.0,4.0,49.0,-6.0,10.0,2.0,-10.0,10.0,,
,Mar,,,Harris,DE,41.0,2.0,50.0,-3.0,8.0,1.0,-9.0,5.0,,
,Apr,11-16,,NOP,DM,44.8,2.8,46.8,-2.2,7.5,-0.5,-2.0,5.0,,
,Apr,12-16,,Gallup,DT,43.5,4.0,44.5,-4.0,10.0,0.5,-1.0,8.0,,
,Apr,,,ORC,ES,40.0,1.0,51.0,2.0,7.0,-3.0,-11.0,-1.0,,
