Year,Month,Fieldwork,Date,Polling,Publisher,Con,,Lab,,LD,,Con lead,,,
1964,Oct,22-25,,NOP,DM,36.6,,50.7,,12.0,,,,,
,Nov,5-8,,NOP,DM,39.0,2.4,50.3,-0.4,10.5,-1.5,-11.3,,,
,Nov,,,Gallup,DT,38.5,,50.0,,11.0,,-11.5,,,
,Nov,19-22,,NOP,DM,37.9,-1.1,51.7,1.4,10.4,-0.1,-13.8,-2.5,,
,Dec,3-7,,NOP,DM,38.8,0.9,48.7,-3.0,12.2,1.8,-9.9,3.9,,
,Dec,,,Gallup,DT,40.0,1.5,50.5,0.5,9.0,-2.0,-10.5,1.0,,
1965,Jan,,,Gallup,DT,42.5,2.5,46.5,-4.0,10.5,1.5,-4.0,6.5,,
,Jan,7-11,,NOP,DM,40.2,1.4,48.8,1.4,10.4,1.4,-8.6,1.4,,
,Feb,8-16,,NOP,DM,43.5,3.3,48.2,3.3,8.2,3.3,-4.7,3.3,,
,Feb,,,Gallup,DT,45.5,3.0,45.0,-2.4,9.0,-2.4,0.5,-2.4,,
,Mar,11-15,,NOP,DM,41.1,-2.4,50.2,-2.4,8.4,-2.4,-9.1,-2.4,,
,Mar,,,Gallup,DT,43.5,-2.0,46.0,-1.9,9.5,-1.9,-2.5,-1.9,,Gallup switched from News Chronicle to Telegraph during 1960
,Mar,25-29,,NOP,DM,39.2,-1.9,48.7,1.6,11.7,1.6,-9.5,1.6,,
,Apr,8-12,,NOP,DM,40.8,1.6,46.2,0.6,12.5,0.6,-5.4,0.6,,
,Apr,,,Gallup,DT,39.5,-4.0,47.5,1.5,12.5,3.0,-8.0,-5.5,,
,May,6-10,,NOP,DM,41.4,0.6,47.2,0.6,11.0,0.6,-5.8,0.6,,
,May,,,Gallup,DT,44.0,4.5,43.0,1.2,12.5,1.2,1.0,1.2,,
,May,20-24,,NOP,DM,42.6,1.2,46.3,-1.0,10.3,-1.0,-3.7,-1.0,,
,Jun,,,Gallup,DT,47.0,3.0,42.5,2.1,9.5,2.1,4.5,2.1,,
,Jun,10-15,,NOP,DM,41.6,-1.0,47.0,-1.2,10.4,-1.2,-5.4,-1.2,,
